Shipment_ID,Route_Type,Distance_km,Delivery_Time_min,On_Time,Delay_Minutes,Vehicle_Type,Day_of_Week,Region,Fuel_Cost
1,Highway,301.01,1413.31,0,15.19,Truck,Sat,East,4272.79
2,Urban,659.84,867.36,1,116.13,Bike,Sat,West,4017.09
3,Highway,616.07,767.02,0,192.93,Bike,Mon,East,2139.62
4,Highway,646.23,919.92,1,121.4,Bike,Thu,South,4663.91
5,Urban,880.41,935.97,1,9.64,Bike,Fri,South,1538.55
6,Urban,784.15,280.35,1,195.28,Truck,Sun,East,1910.09
7,Highway,228.92,1039.02,1,117.42,Van,Sat,East,948.03
8,Rural,103.04,694.96,1,5.76,Van,Mon,North,1173.26
9,Highway,1095.48,790.55,1,51.16,Bike,Thu,East,93.13
10,Highway,841.78,74.57,1,65.27,Truck,Tue,South,1577.03
11,Highway,541.71,1153.9,1,153.18,Bike,Sat,West,1567.52
12,Highway,1213.49,1258.08,1,55.91,Van,Sun,West,383.01
13,Urban,585.15,940.55,1,108.4,Bike,Wed,North,1735.37
14,Highway,1194.97,1130.62,1,225.2,Truck,Tue,West,1541.85
15,Rural,462.11,798.38,1,242.32,Truck,Tue,East,4005.32
16,Urban,113.9,938.98,1,238.62,Truck,Sat,North,823.42
17,Rural,1399.3,610.02,0,208.52,Bike,Wed,East,3639.16
18,Rural,594.85,1194.06,0,162.54,Van,Sun,West,693.43
19,Rural,1190.08,718.36,1,165.19,Truck,Mon,East,2506.36
20,Rural,422.32,1029.91,1,286.02,Van,Wed,North,3695.1
21,Urban,971.32,943.5,1,263.36,Van,Thu,North,3051.96
22,Urban,1310.6,1062.4,1,194.94,Bike,Tue,South,3247.09
23,Rural,67.26,1184.27,0,140.55,Bike,Sat,West,1071.54
24,Rural,1246.8,783.69,0,218.72,Van,Wed,East,4145.64
25,Urban,859.14,1225.21,0,18.81,Truck,Fri,South,4762.97
26,Urban,913.17,760.97,1,283.38,Truck,Wed,South,814.13
27,Urban,787.12,1436.25,0,164.27,Bike,Wed,West,4446.92
28,Highway,1312.34,1136.43,1,150.84,Truck,Thu,East,2018.57
29,Highway,69.93,281.58,1,87.25,Van,Sat,West,3509.23
30,Highway,395.24,1249.49,1,1.02,Truck,Tue,East,2558.27
31,Rural,1314.26,840.83,0,18.37,Bike,Thu,South,3977.03
32,Highway,1129.76,1477.16,1,78.9,Van,Thu,South,274.15
